635387,4,317693,1,317693
1483283,4,741641,1,741641
3145739,4,1572869,1,1572869
7899239,529,3949619,1,3949619
11717507,4,5858753,1,5858753
33244703,25,16622351,1,16622351
56313119,49,28156559,1,28156559
120078359,49,60039179,1,60039179
216728663,25,108364331,1,108364331
355599143,25,177799571,1,177799571
808915907,4,404457953,1,404457953
2018002979,4,1009001489,1,1009001489
2339391647,25,1169695823,1,1169695823
7756558463,25,3878279231,1,3878279231
11053516967,25,5526758483,1,5526758483
20019919307,4,10009959653,1,10009959653
61385935763,4,30692967881,1,30692967881
74925604583,25,37462802291,1,37462802291
211836045479,49,105918022739,1,105918022739
286759612487,25,143379806243,1,143379806243
554240741459,4,277120370729,1,277120370729
